id,SEQ.,Usina,size,Number,Tipo,Delivery date,Leilao,Potencia,"Garantia
Física (MWmédio)",Lotes Vendidos,Preço (R$/MW),Localização,Fonte,Mod.,Invest. Previsto  (R$),empresa_consorcio,Year,price_US$,inv_US$,GDP growth,Risk (EMBI+),Gross capital formation (% of GDP),FDI (% of GDP),Primary energy consumption (exajoules),G,exch,inv US$ billion
330,31,EOL SM,0.024,41,Reserva,2014,Leilão 3/2011,30,15.7,15.7,101.98,João Câmara / RN,Vento,PIE,"111,000,000.00",Santa Maria Energias Renováveis S.A.,2011,54.38643272,59196843,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.059196843
331,33,EOL Teiu,0.024,41,Reserva,2014,Leilão 3/2011,17.6,8.2,8.2,99.98,Pindaí / BA,Vento,PIE,"74,230,250.00","Consórcio Brazil Wind:
Brazil Energy S.A.
Sequóia Capital Ltda.",2011,53.31982294,39587355,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.039587355
332,34,UTE Tropical Bioenergia,0.024,41,Reserva,2014,Leilão 3/2011,50,19.7,7.3,95,Etéia / GO,UTE,PIE,"58,279,000.00",Tropical Bioenergia S.A.,2011,50.66396459,31080476,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.031080476
333,35,UTE Vale do Rosário,0.024,41,Reserva,2014,Leilão 3/2011,97,34.4,10.8,101.5,Morro Agudo / SP,UTE,PIE,"1,100,000.00",LDC-SEV Bioenergia S.A.- Unidade Vale do Rosário,2011,54.13044638,586635,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.000586635
334,36,EOL Vento Aragano I,0.024,41,Reserva,2014,Leilão 3/2011,28.8,13.8,13.8,99.5,Rio Grande / RS,Vento,PIE,"110,608,550.00","Consórcio Investidor Vento Aragano I: 
Odebrecht Energias Alternativas S.A.
Central Geradora Eólica Vento Aragano I Ltda.",2011,53.0638366,58988081,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.058988081
335,37,EOL Ventos de Santa Rosa,0.024,41,Reserva,2014,Leilão 3/2011,30,13.5,13.5,99.21,Tianguá / CE,Vento,PIE,"115,420,000.00","Consórcio Ventos de Santa Rosa: 
Energimp S.A.
Ventos de Santa Rosa Energias Renováveis S.A.",2011,52.90917818,61554050,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06155405
336,38,EOL Ventos de Santo Inácio,0.024,41,Reserva,2014,Leilão 3/2011,30,13.2,13.2,100.79,Tianguá / CE,Vento,PIE,"115,420,000.00","Consórcio Ventos de Santo Inácio: 
Energimp S.A.
Ventos de Santo Inácio Energias Renováveis S.A.",2011,53.7517999,61554050,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06155405
337,39,EOL Ventos de Santo Uriel,0.024,41,Reserva,2014,Leilão 3/2011,16.1,9,9,101.19,Touros / RN,Vento,PIE,"60,934,000.00","Consórcio Desa Santo Uriel:
 Dobrevê Energia S.A. 
Ludesa Participações S.A. 
Ventos de Santo Uriel Energias Renováveis S.A.",2011,53.96512186,32496400,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.0324964
338,40,EOL Ventos de São Geraldo,0.024,41,Reserva,2014,Leilão 3/2011,30,14.6,14.6,99.11,Tianguá / CE,Vento,PIE,"115,420,000.00","Consórcio Ventos de São Geraldo:
Energimp S.A.
Ventos de São Geraldo Energias Renováveis S.A.",2011,52.85584769,61554050,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06155405
339,41,EOL Ventos de Sebastião,0.024,41,Reserva,2014,Leilão 3/2011,30,13.4,13.4,99.69,Tianguá / CE,Vento,PIE,"115,420,000.00","Consórcio Ventos de São Sebastião: 
Energimp S.A.
Ventos de São Sebastião Energias Renováveis S.A.",2011,53.16516452,61554050,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06155405
340,1,EOL Ventos da Andorinha,0.024,42,A-5,2016,Leilão 7/2011,29.9,15.9,15.9,102.49,Campo Formoso / BA,Vento,PIE,"102,940,000.00","Consórcio Ventos da Andorinha Energias Renováveis S.A.: 
Atlantic Energias Renováveis S.A.
Casa dos Ventos Energias Renováveis Ltda.",2011,54.65841822,54898405,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.054898405
341,2,EOL Ametista,0.02,51,A-3,2014,Leilão 2/2011,28.8,13.9,13.9,98.53,nocity / BA,Vento,PIE,"113,200,030.00",Renova Energia S.A.,2011,52.54653085,60370130,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06037013
342,4,EOL Borgo,0.02,51,A-3,2014,Leilão 2/2011,19.2,9.7,9.7,98.53,nocity / BA,Vento,PIE,"56,602,030.00",Renova Energia S.A.,2011,52.54653085,30186139,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.030186139
343,5,EOL Caetité,0.02,51,A-3,2014,Leilão 2/2011,28.8,14.7,14.3,98.53,nocity / BA,Vento,PIE,"113,200,030.00",Renova Energia S.A.,2011,52.54653085,60370130,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06037013
344,16,EOL Dourados,0.02,51,A-3,2014,Leilão 2/2011,28.8,13.2,13.2,98.53,nocity / BA,Vento,PIE,"113,200,030.00",Renova Energia S.A.,2011,52.54653085,60370130,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06037013
345,17,EOL Emiliana,0.02,51,A-3,2014,Leilão 2/2011,27.2,12.7,4.5,98.51,nocity / BA,Vento,PIE,"135,093,600.00","Consórcio EGP - Curva dos Ventos: 
Enel Brasil Participações Ltda.
Parque Eólico Curva dos Ventos Ltda",2011,52.53586475,72046078,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.072046078
346,18,EOL Espigão,0.02,51,A-3,2014,Leilão 2/2011,9.6,5,4.9,98.53,nocity / BA,Vento,PIE,"44,023,020.00",Renova Energia S.A.,2011,52.54653085,23477692,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.023477692
347,21,EOL Joana,0.02,51,A-3,2014,Leilão 2/2011,25.6,12.2,5.9,98.5,nocity / BA,Vento,PIE,"130,672,800.00","Consórcio EGP - Curva dos Ventos 
Enel Brasil Participações Ltda.
Parque Eólico Curva dos Ventos Ltda",2011,52.5305317,69688443,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.069688443
348,23,EOL Maron,0.02,51,A-3,2014,Leilão 2/2011,28.8,15.4,13.8,98.53,nocity / BA,Vento,PIE,"113,200,030.00",Renova Energia S.A.,2011,52.54653085,60370130,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06037013
349,32,EOL Pelourinho,0.02,51,A-3,2014,Leilão 2/2011,22.4,11.8,11.8,98.53,nocity / BA,Vento,PIE,"88,047,030.00",Renova Energia S.A.,2011,52.54653085,46955912,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.046955912
350,33,EOL Pilões,0.02,51,A-3,2014,Leilão 2/2011,28.8,15.5,13.1,98.53,nocity / BA,Vento,PIE,"113,200,030.00",Renova Energia S.A.,2011,52.54653085,60370130,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.06037013
351,39,EOL Serra do Espinhaço,0.02,51,A-3,2014,Leilão 2/2011,17.6,8.9,8.9,98.53,nocity / BA,Vento,PIE,"69,179,030.00",Renova Energia S.A.,2011,52.54653085,36893515,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.036893515
352,4,EOL Cataventos Embuaca,0.024,42,A-5,2016,Leilão 7/2011,12,6.7,6.2,107.31,nocity / CE,Vento,PIE,"48,127,000.00","Consórcio Cataventos Embuaca: 
Cataventos Embuaca - Geração de Energias Renováveis Ltda.
Tecneira - Tecnologias Energéticas, S.A.",2011,57.22894779,25666364,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.025666364
353,20,EOL Goiabeira,0.024,42,A-5,2016,Leilão 7/2011,19.2,9.9,8.7,107.7,nocity / CE,Vento,PIE,"67,233,000.00","Consórcio Goiabeira: 
Alupar Investimento S.A
Furnas Centrais Elétricas S.A.
Central Eólica Goiabeira Ltda",2011,57.4369367,35855688,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.035855688
354,21,EOL Ventos de Horizonte,0.024,42,A-5,2016,Leilão 7/2011,14.4,7.3,6.4,107.69,nocity / CE,Vento,PIE,"51,940,000.00","Consórcio Horizonte: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Horizonte Ltda",2011,57.43160365,27699856,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.027699856
355,22,EOL Jandaia ,0.024,42,A-5,2016,Leilão 7/2011,28.8,14.1,11.7,107.7,nocity / CE,Vento,PIE,"97,564,000.00","Consórcio Jandaia:
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Jandaia Ltda",2011,57.4369367,52031358,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.052031358
356,23,EOL São Januário,0.024,42,A-5,2016,Leilão 7/2011,19.2,9,7.9,107.69,nocity / CE,Vento,PIE,"71,633,000.00","Consórcio São Januário: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica São Januário Ltda",2011,57.43160365,38202229,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.038202229
357,24,EOL Ubatuba,0.024,42,A-5,2016,Leilão 7/2011,12.6,5.8,5.1,107.69,nocity / CE,Vento,PIE,"44,967,000.00","Consórcio Ubatuba: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Ubatuba Ltda",2011,57.43160365,23981121,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.023981121
358,25,EOL Jandaia I,0.024,42,A-5,2016,Leilão 7/2011,19.2,9.9,8.7,107.7,nocity / CE,Vento,PIE,"69,473,000.00","Consórcio Jandaia I: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Jandaia I",2011,57.4369367,37050291,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.037050291
359,27,EOL Nossa Senhora de Fátima,0.024,42,A-5,2016,Leilão 7/2011,28.8,12.8,11.2,107.69,nocity / CE,Vento,PIE,"97,654,000.00","Consórcio Nossa Senhora de Fátima: 
Alupar Investimento S.A.
Furnas Centrais Elétricas S.A.
Central Eólica Nossa Senhora de Fatima Ltda",2011,57.43160365,52079356,3.974425406,194,21.82627609,3.915113195,11.48,201770.6,1.8751,0.052079356
