id,SEQ.,Usina,size,Number,Tipo,Delivery date,Leilao,Potencia,"Garantia
Física (MWmédio)",Lotes Vendidos,Preço (R$/MW),Localização,Fonte,Mod.,Invest. Previsto  (R$),empresa_consorcio,Year,price_US$,inv_US$,GDP growth,Risk (EMBI+),Gross capital formation (% of GDP),FDI (% of GDP),Primary energy consumption (exajoules),G,exch,inv US$ billion
1,1,UHE Foz do Rio Claro,0.091,11,A-5,2010,Leilão 2/2005,68.4,41,41,108.04,Caçú e São Simão / GO,Água,PIE,"281,032,620.00",Alusa Engenharia Ltda,2005,46.17291337,120104543,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.120104543
2,2,UHE São José,0.091,11,A-5,2010,Leilão 2/2005,51,30.4,30,115.8,Salvador das Missões e Rolador / RS,Água,PIE,"208,985,970.00",Alusa Engenharia Ltda,2005,49.48929441,89314060,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.08931406
3,3,UHE Passo São João,0.091,11,A-5,2010,Leilão 2/2005,77,39,37,112.55,Dezesseis de Novembro e Roque Gonzales / RS,Água,PIE,"267,595,880.00",Eletrosul S.A.,2005,48.10034617,114362101,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.114362101
4,4,UHE Simplício,0.091,11,A-5,2010,Leilão 2/2005,337.7,191.3,185,115.38,Sapucaia e Três Rios / RJ ,Água,PIE,"1,441,505,800.00","Furnas
Centrais Elétricas S.A.",2005,49.30979956,616054447,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.616054447
5,5,UHE Retiro Baixo,0.091,11,A-5,2010,Leilão 2/2005,82,38.5,36,114.86,Curvelo e Pompeu / MG,Água,PIE,"262,417,880.00",Orteng Equipamentos e Sistemas Ltda.,2005,49.08756784,112149186,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.112149186
6,6,UHE Baguari,0.091,11,A-5,2010,Leilão 2/2005,140,80.2,77,115.1,"Fernades Tourinho, Governador Valadares, Periquito, Sobrália, Iapú e Alpercata / MG",Água,PIE,"487,516,620.00","Cemig Geração e Transmissão S.A. (34%), Furnas Centrais Elétricas S.A. (15%) e Neoenergia S.A.
(51%), que compõem o Consórcio Baguari",2005,49.19013633,208349340,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.20834934
7,7,UTE Candiota III,0.091,11,A-5,2010,Leilão 2/2005,350,303.5,292,124.67,Candiota / RS,Carvão Mineral,PIE,"986,900,000.00",Companhia de Geração Térmica de Energia Elétrica - CGTEE,2005,53.2800547,421770161,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.421770161
8,8,UTE Costa Pinto (Ampliação),0.091,11,A-5,2010,Leilão 2/2005,56.14,22,19,138.99,Piracicaba / SP,bagaco,AP,"158,641,610.00",Cosan S.A. Bioenergia,2005,59.39997436,67798457,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.067798457
9,9,UTE Interlagos,0.091,11,A-5,2010,Leilão 2/2005,40,20.7,8,114.96,Pereira Barreto / SP,bagaco,PIE,"68,370,110.00",Usina Interlagos Ltda.,2005,49.13030471,29219244,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.029219244
10,10,UTE Quirinópolis,0.091,11,A-5,2010,Leilão 2/2005,40,11.6,6,104,Quirinópolis / GO,bagaco,PIE,"78,800,000.00",U.S.J. Açúcar e Álcool S.A.,2005,44.44634386,33676653,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.033676653
11,11,UTE Goiânia II,0.091,11,A-5,2010,Leilão 2/2005,140,65.3,65,138.94,Aparecida de Goiânia / GO,Óleo Diesel,PIE,"232,098,250.00","Petrobrás
Distribuidora S.A. (10%) e Benco Engenharia Ltda. (90%), que compõem o Consórcio BR Benco",2005,59.37860592,99191525,3.20213138,398,17.20488348,1.733900669,8.86,84956.3,2.3399,0.099191525
12,1,UHE Dardanelos,0.111,9,A-5,2011,Leilão 4/2006,261,154.9,147,112.68,Aripuanã / MT,Água,PIE,"574,133,830.00","Companhia Hidro Elétrica do São Francisco - CHESF (24,5%), Centrais Elétricas do Norte do Brasil S.A. - ELETRONORTE (24,5%), Neoenergia S.A. (46%), Construtora Norberto Odebrecht (5%), que compõem o Consórcio Aripuanã",2006,52.72318922,268638326,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.268638326
13,2,UHE Mauá,0.111,9,A-5,2011,Leilão 4/2006,361,197.7,192,112.96,Telêmaco Borba e Ortigueira / PR,Água,PIE,"882,849,520.00","Copel Geração S.A. (51%) e Eletrosul Centrais Elétricas S.A. (49%), que compõem o Consórcio Cruzeiro do Sul",2006,52.85420176,413086992,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.413086992
14,3,UTE Quatá (Ampliação),0.111,9,A-5,2011,Leilão 4/2006,60,10.5,10,137,Quatá / SP,bagaco,PIE,"109,044,000.00",Açucareira Quatá S.A.,2006,64.1025641,51021898,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.051021898
15,4,UTE Usina Bonfim,0.111,9,A-5,2011,Leilão 4/2006,59,23.4,21,137.6,Guariba / SP,bagaco,PIE,"116,140,000.00",Corona Bioenergia S.A.,2006,64.38330526,54342130,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.05434213
16,5,UTE Ferrari,0.111,9,A-5,2011,Leilão 4/2006,31,8.2,8,138,Pirassununga / SP,bagaco,PIE/AP,"76,816,000.00",Ferrari Agorindústria Ltda,2006,64.57046603,35942354,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035942354
17,6,UTE Boa Vista,0.111,9,A-5,2011,Leilão 4/2006,80,36.2,11,134.99,Quirinópolis / GO,bagaco,PIE/AP,"153,600,000.00",Usina Boa Vista S.A.,2006,63.16208123,71869736,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.071869736
18,7,UTE Baia Formosa (Ampliação),0.111,9,A-5,2011,Leilão 4/2006,32,11,11,137.7,Baía Formosa / RN,bagaco,PIE,"41,359,230.00",Vale Verde Empreendimentos Agrícolas Ltda.,2006,64.43009545,19352063,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.019352063
19,8,UTE Palmeiras de Goiás.,0.111,9,A-5,2011,Leilão 4/2006,174.3,69.8,69,137.6,Palmeiras do Goiás / GO,Óleo Diesel,PIE,"272,969,000.00",Energia Elétrica do Brasil Ltda.,2006,64.38330526,127722721,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.127722721
20,9,UTE do Atlântico,0.111,9,A-5,2011,Leilão 4/2006,490,419.8,200,136.88,Rio de Janeiro / RJ,Gás de Processo e Vapor de Processo,PIE/AP,"1,205,000,000.00",Thyssenkrupp CSA Companhia Siderúrgica,2006,64.04641587,563821823,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.563821823
21,1,UTE Colorado (Ampliação),0.1,10,A-3,2009,Leilão 2/2006,32,16,8,134.21,Guaíra / SP,bagaco,PIE,"75,695,000.00",Açúcar e Álcool Oswaldo Ribeiro de Mendonça Ltda,2006,62.79711772,35417836,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035417836
22,2,UTE São José (Ampliação),0.1,10,A-3,2009,Leilão 2/2006,50,28.3,28,134.2,Macatuba / SP,bagaco,PIE,"184,640,000.00",Açucareira Zillo Lorenzetti S.A.,2006,62.7924387,86393412,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.086393412
23,3,UTE Camaçari Polo de Apoio I,0.1,10,A-3,2009,Leilão 2/2006,148,101.4,101,134.3,Camaçari / BA,Óleo Combustível,PIE,"250,000,000.00","Petrobrás Distribuidora S.A. (30%), Crisga Consultoria em Engenharia Elétrica e Participações Ltda. (20%), WJ Tecnologia Ltda. (15%), Genrent do Brasil Ltda. (20%), Ellocin Brasil Participações e Consultoria Empresarial – ELLOBRAS Ltda. (15%) integrantes do Consórcio BRGEC",2006,62.8392289,116975482,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.116975482
24,4,UTE Camaçari Muricy I,0.1,10,A-3,2009,Leilão 2/2006,148,101.4,101,134.42,Camaçari / BA,Óleo Combustível,PIE,"250,000,000.00",Petrobrás Distribuidora S.A. (50%) e Morro do Conselho Participações Ltda. (50%) integrantes do Consórcio BRMDC,2006,62.89537713,116975482,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.116975482
25,5,UTE Santa Izabel (Ampliação),0.1,10,A-3,2009,Leilão 2/2006,40,11.3,11,134.24,Novo Horizonte / SP,bagaco,AP,"65,400,000.00",Usina Santa Isabel Ltda.,2006,62.81115478,30600786,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.030600786
26,6,UTE Potiguar III,0.1,10,A-3,2009,Leilão 2/2006,66,29.5,29,134.25,Macaíba / RN,Óleo Diesel,PIE,"55,145,000.00",Potiguar S.A. – TEP,2006,62.8158338,25802452,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.025802452
27,7,UTE Pau Ferro I,0.1,10,A-3,2009,Leilão 2/2006,94,46.5,46,134.31,Igarassú / PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,"55,700,000.00",Termomanaus Ltda,2006,62.84390792,26062137,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.026062137
28,8,UTE Termomanaus,0.1,10,A-3,2009,Leilão 2/2006,142.24,70.4,70,134.31,Cabo de Santo  Agostinho / PE,"Óleo Diesel
(Alternativo: Biodiesel)",PIE,"75,072,000.00",Termomanaus Ltda,2006,62.84390792,35126334,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.035126334
29,9,UTE Quirinopolis (Ampliação),0.1,10,A-3,2009,Leilão 2/2006,40,11.2,11,134.12,Quirinópolis / GO,bagaco,PIE,"78,800,000.00",U.S.J. Açúcar e Álcool S.A.,2006,62.75500655,36870672,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.036870672
30,10,PCH Barra Escondida,0.1,10,A-3,2009,Leilão 2/2006,2.25,1.25,1,124.99,Saudades / SC,Água,PIE,"8,216,000.00",QBEC Projetos e Consultoria Ltda. ,2006,58.48306195,3844282,3.961988722,235,17.8164739,1.749493337,9.08,96885.8,2.1372,0.003844282
31,1,UTE MPX,0.25,4,A-5,2012,Leilão 1/2007,700,631,615,125.95,Caucaia / CE,Carvão Mineral,PIE,"2,101,430,000.00",MPX Mineração e Energia Ltda.,2007,71.13809658,1186913301,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,1.186913301
32,2,UTE Termomaranhão,0.25,4,A-5,2012,Leilão 1/2007,350,332.7,315,128.95,São Luiz / MA,Carvão Mineral,PIE,"1,413,000,000.00",Diferencial Energia Empreendimentos e Participações Ltda.,2007,72.83253318,798079639,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.798079639
33,3,UTE Maracanaú II,0.25,4,A-5,2012,Leilão 1/2007,73.71,53,51,130.95,Pecém / CE,Óleo OCB1,PIE,"183,000,000.00",Thèrmes Participações S.A.,2007,73.96215758,103360633,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.103360633
34,4,UTE Suape II,0.25,4,A-5,2012,Leilão 1/2007,355.68,265.4,265,131.49,Cabo de Santo  Agostinho / PE,Óleo Combustível,PIE,"590,000,000.00","Consórcio MPE Montagens e Projetos Especiais, Petrobras Distribuidora S.A., Ellobras Infra-Estrutura e Participações Ltda., Genrent Participações Ltda., Genpower Energy Participações Ltda.",2007,74.26715617,333239198,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.333239198
35,1,UTE Ester (Ampliação),0.091,11,FA,2010,Leilão 3/2007,30,10.2,7,138.9,Cosmópolis / SP,bagaco,PIE,"70,000,000.00",Usina Açucareira Ester S.A. ,2007,78.45241457,39536854,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.039536854
36,2,UTE Florida Paulista (Ampliação),0.091,11,FA,2010,Leilão 3/2007,40,21.8,8,139.12,Flórida Paulista / SP,bagaco,PIE,"63,700,000.00",Floralco Açúcar e Álcool Ltda.,2007,78.57667326,35978537,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.035978537
37,3,UTE Iacanga,0.091,11,FA,2010,Leilão 3/2007,12,7.8,4,138.94,Iacanga / SP,bagaco,PIE,"20,990,000.00",Usina Iacanga de Açúcar e Álcool Ltda.,2007,78.47500706,11855408,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.011855408
38,4,UTE Louis Dreyfus Lagoa da Prata,0.091,11,FA,2010,Leilão 3/2007,60,29.8,19,139.12,Lagoa da Prata / MG,bagaco,PIE,"60,240,000.00",Louis Dreyfus Commodities Bioenergia S.A.,2007,78.57667326,34024287,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.034024287
39,5,UTE Louis Dreyfus Rio Brilhante,0.091,11,FA,2010,Leilão 3/2007,90,48.9,22,139.12,Rio Brilhante / MS,bagaco,PIE,"53,000,000.00",Louis Dreyfus Commodities Bioenergia S.A.,2007,78.57667326,29935047,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.029935047
40,6,UTE Pioneiros II,0.091,11,FA,2010,Leilão 3/2007,50,16.9,12,139.12,Ilha Solteira / SP,bagaco,PIE,"60,240,000.00",Pioneiros Bioenergia S.A.,2007,78.57667326,34024287,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.034024287
41,7,UTE Santa Cruz AB (Ampliação),0.091,11,FA,2010,Leilão 3/2007,50,28,20,138.75,Américo Brasiliense / SP,bagaco,PIE,"57,100,000.00",Santa Cruz S.A. Açúcar e Álcool,2007,78.36769274,32250777,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.032250777
42,8,UTE São João da Boa Vista  (Ampliação),0.091,11,FA,2010,Leilão 3/2007,70,23,23,138.6,São João da Boa Vista / SP,bagaco,PIE,"101,300,000.00",Dedini Açúcar e Álcool Ltda.,2007,78.28297091,57215476,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.057215476
43,9,UTE Xanxerê,0.091,11,FA,2010,Leilão 3/2007,30,27.1,25,138.5,Xanxerê / SC,Biomassa de Resíduo Sólido Avícola (Alternativo: Resíduos de Madeira),PIE,"42,408,700.00",Fenix Energy Comercialização e Geração de Energia Elétrica Ltda.,2007,78.22648969,23952951,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.023952951
44,10,PCH Pedra Furada,0.091,11,FA,2010,Leilão 3/2007,6.5,3.19,3,134.97,Ribeirão e Joaquim Nabuco / PE,Água,PIE,"39,902,000.00","Arrara, Koblitz Energia Participações Ltda.",2007,76.23270263,22537136,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.022537136
45,11,PCH Santa Luzia Alto,0.091,11,FA,2010,Leilão 3/2007,28.5,18.42,14,135,São Domingos e Ipauçu / SC,Água,PIE,"148,438,080.00",Construtora Gomes Lourenço Ltda.,2007,76.24964699,83839639,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.083839639
46,1,UHE Santo Antônio,1,1,Estruturante,2012,Leilão 5/2007,3150.4,2218,1552,78.87,Porto Velho / RO,Água,PIE,"9,495,381,160.00","Consórcio Madeira Energia - Odebrecht Investimentos em Infra-estrutura Ltda. (17,6%);
Construtora Norberto Odebrecht S/A (1%);
Andrade Gutierrez Participações S/A (12,4%);
Cemig Geração e Transmissão S/A (10%);
Furnas Centrais Elétricas S/A (39%), e
Fundo de Investimentos e Participações Amazônia Energia - FIP dos Bancos Banif e Santander (20%).
",2007,44.54673821,5363107122,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,5.363107122
47,1,UTE Campina Grande,0.091,11,A-3,2010,Leilão 2/2007,164.24,123.6,119,132.83,Campina Grande / PB,"Óleo Combustível B1 (especial)
Alternativo: Óleo Diesel",PIE,"369,806,820.00",Wärtsilä do Brasil Ltda.,2007,75.02400452,208871404,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.208871404
48,2,UTE Global I,0.091,11,A-3,2010,Leilão 2/2007,143.84,105.3,105,135.9,Candeias / BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,"170,000,000.00",Global Participações em Energia S.A.,2007,76.75797797,96018074,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.096018074
49,3,UTE Global II,0.091,11,A-3,2010,Leilão 2/2007,148,109.3,109,135.9,Candeias / BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,"212,000,000.00",Global Participações em Energia S.A.,2007,76.75797797,119740186,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.119740186
50,4,UTE Itapebi,0.091,11,A-3,2010,Leilão 2/2007,137.6,103.7,103,133.6,Itapebi / BA,"Óleo OCB1
Alternativo: Óleo Diesel",PIE,"203,025,000.00",South Bahia Energia Ltda.,2007,75.45890991,114670997,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.114670997
51,5,UTE Maracanaú I,0.091,11,A-3,2010,Leilão 2/2007,162.34,122.9,119,133.13,Maracanaú / CE,Óleo Combustível B1,PIE,"355,200,000.00",Thermes Participações S.A.,2007,75.19344818,200621293,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.200621293
52,6,UTE Monte Pascoal,0.091,11,A-3,2010,Leilão 2/2007,137.6,104.8,104,132.8,Eunápolis / BA,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,"204,310,000.00",South Bahia Energia Ltda,2007,75.00706015,115396781,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.115396781
53,7,UTE Nova Olinda,0.091,11,A-3,2010,Leilão 2/2007,165,120.8,120,136,Nova Olinda / TO,Óleo combustível B1 especial,PIE,"325,545,380.00",Holdenn Construções Assessoria e Consultoria Ltda.,2007,76.81445919,183872002,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.183872002
54,8,UTE Termonordeste,0.091,11,A-3,2010,Leilão 2/2007,170.76,123.8,123,135.97,Santa Cruz / RN,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,"162,782,000.00","Termomanaus, Ltda.",2007,76.79751483,91941260,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.09194126
55,9,UTE Termoparaíba,0.091,11,A-3,2010,Leilão 2/2007,170.8,123.9,123,135.92,Conde / PB,"Óleo Combustível B1
Alternativo: Biodisel e Óleo Diesel",PIE,"162,782,000.00","Termomanaus, Ltda.",2007,76.76927422,91941260,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.09194126
56,10,UTE Tocantinópolis,0.091,11,A-3,2010,Leilão 2/2007,165,120.8,120,135.9,Tocantinópolis / TO,Óleo combustível B1 especial,PIE,"325,545,380.00",Holdenn Construções Assessoria e Consultoria Ltda.,2007,76.75797797,183872002,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.183872002
57,11,UTE Viana,0.091,11,A-3,2010,Leilão 2/2007,170.76,121.5,121,133.21,Viana / ES,"Óleo Combustível B1
Alternativo: Óleo Diesel",PIE,"386,434,720.00",Wärtsilä Brasil Ltda.,2007,75.23863315,218263044,6.069870608,181,19.81932597,3.190894842,9.63,115429.6,1.7705,0.218263044
58,1,UTE São Luiz (Abengoa São Luiz),0.034,29,Reserva,2009/2010,Leilão 1/2008,70,24,8,60.04,Pirassununga / SP,bagaco,PIE,"264,000,000.00",Abengoa Bioenergia São Luiz S.A.,2008,25.69985446,113004024,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.113004024
59,2,UTE Barra Bioenergia,0.034,29,Reserva,2009/2010,Leilão 1/2008,136,51.5,34,60.04,Barra Bonita / SP,bagaco,PIE,"344,696,000.00",Barra Bioenergia S.A. – Filial UTE Barra Bioenergia,2008,25.69985446,147545587,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.147545587
60,3,UTE Ben Bioenergia,0.034,29,Reserva,2009/2010,Leilão 1/2008,30,26.4,24,58.49,Santa Filomena / PI,"Capim Elefante
(Alternativo: resíduo de madeira)",PIE,"101,435,000.00","BEN – Bioenergia, Geração e Comercialização de Energia do Nordeste Ltda.",2008,25.03638387,43418800,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.0434188
61,4,UTE Bioenergética Vale do Paracatu - BEVAP,0.034,29,Reserva,2009/2010,Leilão 1/2008,80,39.2,20,60.02,João Pinheiro / MG,"Bagaço de Cana-de-Açúcar
(Alternativo: palha de cana-de-açúcar)",PIE,"141,000,000.00",Bioenergética Vale do Paracatu Ltda.,2008,25.69129355,60354422,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.060354422
62,5,UTE Biopav II,0.034,29,Reserva,2009/2010,Leilão 1/2008,140,49.6,15,60.02,Brejo Alegre / SP,bagaco,PIE,"210,000,000.00",Biopav S.A. Açúcar e Álcool. ,2008,25.69129355,89889564,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.089889564
63,6,UTE Bonfim (Ampliação),0.034,29,Reserva,2009/2010,Leilão 1/2008,45,18.8,10,60.04,Guariba / SP,bagaco,PIE,"261,485,000.00",Barra Bioenergia S.A. – Filial UTE Bonfim,2008,25.69985446,111927489,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.111927489
64,7,UTE Cachoeira Dourada,0.034,29,Reserva,2009/2010,Leilão 1/2008,80,35.5,15,60.04,Cachoeira Dourada / GO,bagaco,PIE,"147,763,000.00",U.S.J. - Açúcar e Álcool S.A.,2008,25.69985446,63249294,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.063249294
65,8,UTE Caçú I,0.034,29,Reserva,2009/2010,Leilão 1/2008,130,35.5,27,60.04,Caçú / GO,bagaco,PIE,"182,581,000.00",Rio Claro Agroindustrial S.A.,2008,25.69985446,78152983,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.078152983
66,9,UTE CBB - Companhia Bioenergética Brasileira,0.034,29,Reserva,2009/2010,Leilão 1/2008,18.1,6,6,59.81,Via Boa / GO,bagaco,PIE,"47,680,000.00",Alda Participação e Agropecuária S.A.,2008,25.60140399,20409212,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.020409212
67,10,UTE Clealco-Queiroz  (Ampliação),0.034,29,Reserva,2009/2010,Leilão 1/2008,35,11.3,7,60.49,Queiroz / SP,bagaco,PIE,"35,900,000.00",Clealco Açúcar e Álcool S.A.,2008,25.89247496,15366835,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.015366835
68,11,UTE Cocal II (Ampliação),0.034,29,Reserva,2009/2010,Leilão 1/2008,120,55.5,22,61,Narandiba / SP,bagaco,PIE,"197,500,000.00",Cocal Comércio e Indústria Canaã Açúcar e Álcool Ltda.,2008,26.11077819,84538995,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.084538995
69,12,UTE Companhia Energética Vale do São Simão,0.034,29,Reserva,2009/2010,Leilão 1/2008,50,12.6,12,59.79,Santa Vitória / MG,bagaco,PIE,"72,289,000.00",Companhia Energética Vale do São Simão,2008,25.59284308,30942984,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.030942984
70,13,UTE Conquista do Pontal,0.034,29,Reserva,2009/2010,Leilão 1/2008,100,26,22,60.04,Mirante do Paranapanema / SP,bagaco,PIE,"157,500,000.00",Usina Conquista do Pontal S.A,2008,25.69985446,67417173,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.067417173
71,14,UTE Decasa,0.034,29,Reserva,2009/2010,Leilão 1/2008,75,43,16,59.9,Caiuá / SP,"Bagaço de Cana-de-Açúcar
(Alternativo: palha e ponta de cana-de-açúcar)",PIE,"199,000,000.00",DECASA - Destilaria de Álcool Caiuá S.A.,2008,25.63992809,85181063,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.085181063
72,15,UTE Destilaria Andrade (Ampliação),0.034,29,Reserva,2009/2010,Leilão 1/2008,40.2,20,20,59.8,Pitangueiras / SP,bagaco,AP c/ EXCEDENTE,"76,660,000.00","Consórcio Andrade - Ibitiúva Bioenergética S.A. (58,42% - Líder do Consórcio); e Andrade Açúcar e Álcool S.A. (41,58%) ",2008,25.59712353,32813971,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.032813971
73,16,UTE Ferrari (Ampliação),0.034,29,Reserva,2009/2010,Leilão 1/2008,65.5,23.2,6,60.76,Pirassununga / SP,bagaco,PIE,"13,365,000.00",Ferrari Termoelétrica S.A.,2008,26.00804726,5720829,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.005720829
74,17,UTE Jataí,0.034,29,Reserva,2009/2010,Leilão 1/2008,105,41,34,60.04,Jataí / SP,bagaco,PIE,"327,780,000.00",Cosan Centroeste S.A. Açúcar e Álcool,2008,25.69985446,140304768,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.140304768
75,18,UTE Noble Energia,0.034,29,Reserva,2009/2010,Leilão 1/2008,30,16,11,60,Sebatianópolis do Sul / AP,bagaco,PIE,"52,500,000.00",Usina Noroeste Paulista Ltda.,2008,25.68273264,22472391,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.022472391
76,19,UTE Noroeste Paulista,0.034,29,Reserva,2009/2010,Leilão 1/2008,78,20.4,11,59.97,Sebatianópolis do Sul / AP,bagaco,PIE,"80,800,000.00",Usina Noroeste Paulista Ltda.,2008,25.66989128,34586080,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.03458608
77,20,UTE Porto das Águas,0.034,29,Reserva,2009/2010,Leilão 1/2008,70,12.5,12,60.04,Chapadão do Céu / GO,bagaco,PIE,"129,658,000.00",Usina Porto das Águas Ltda.,2008,25.69985446,55499529,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.055499529
78,21,UTE Santa Luzia I,0.034,29,Reserva,2009/2010,Leilão 1/2008,130,35.5,26,60.04,Nova Alvorada do Sul / MS,bagaco,PIE,"182,581,000.00",Agro Energia Santa Luzia Ltda.,2008,25.69985446,78152983,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.078152983
79,22,UTE São Fernando Açúcar e Álcool,0.034,29,Reserva,2009/2010,Leilão 1/2008,48,13.7,5,59.34,Dourados / MS,"Bagaço de Cana-de-Açúcar 
(Alternativo: cavaco de madeira)",PIE,"75,196,000.00",São Fernando Açúcar e Álcool Ltda.,2008,25.40022258,32187313,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.032187313
80,23,UTE Ipaussu,0.034,29,Reserva,2009/2010,Leilão 1/2008,62,24.3,19,60.04,Ipaussu / SP,bagaco,PIE,"213,413,000.00",Barra Bioenergia S.A.,2008,25.69985446,91350484,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.091350484
81,24,UTE Unidade de Bioenergia Água Emendada,0.034,29,Reserva,2009/2010,Leilão 1/2008,72.7,27,27,54.73,Mineiros / GO,"Bagaço de Cana-de-Açúcar 
(Alternativo: resíduos agrícolas)",PIE,"96,360,000.00",Central Energética Água Emendada S.A.,2008,23.42693263,41246469,5.094195447,300,21.61938284,2.990663287,10.06,130230.5,2.3362,0.041246469
